# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220731-20220806
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/,395,61.01%,241,9.37%,4.62,00:05:22,3.80%,15,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,225,16.00%,36,0.00%,1.04,00:00:15,0.00%,0,$0.00
daniels.du.edu/burns-school/masters/,174,65.52%,114,43.68%,2.17,00:03:13,1.72%,3,$0.00
daniels.du.edu/denver-mba/,155,77.42%,120,40.00%,2.61,00:02:38,3.87%,6,$0.00
daniels.du.edu/burns-school/,118,55.93%,66,13.56%,2.20,00:02:05,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/,105,33.33%,35,25.71%,2.15,00:03:25,22.86%,24,$0.00
(not set),103,8.74%,9,0.00%,0.00,00:00:33,2.91%,3,$0.00
daniels.du.edu/business-information-analytics/masters/,99,58.59%,58,25.25%,2.55,00:03:19,5.05%,5,$0.00
daniels.du.edu/executive-phd/,97,72.16%,70,8.25%,3.46,00:03:34,2.06%,2,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,85,87.06%,74,15.29%,1.18,00:01:32,0.00%,0,$0.00
daniels.du.edu/finance/masters/,85,58.82%,50,21.18%,2.99,00:04:37,4.71%,4,$0.00
daniels.du.edu/professional-mba/,81,67.90%,55,33.33%,2.44,00:04:23,1.23%,1,$0.00
daniels.du.edu/blog/minimalist-college-student-5-packing-tips/,76,92.11%,70,5.26%,1.04,00:02:24,0.00%,0,$0.00
daniels.du.edu/programs/mba-landing/,73,84.93%,62,65.75%,2.08,00:01:14,2.74%,2,$0.00
daniels.du.edu/hospitality-management/,67,77.61%,52,25.37%,2.34,00:02:17,0.00%,0,$0.00
daniels.du.edu/ocm/,67,67.16%,45,38.81%,1.66,00:01:30,0.00%,0,$0.00
daniels.du.edu/blog/du-releases-2021-first-destination-outcomes-report/,64,82.81%,53,7.81%,1.05,00:00:51,0.00%,0,$0.00
daniels.du.edu/executive-mba/,62,66.13%,41,51.61%,2.13,00:03:43,8.06%,5,$0.00
daniels.du.edu/blog/fast-and-tasty-food-from-a-truck/,57,96.49%,55,22.81%,1.00,00:00:39,0.00%,0,$0.00
daniels.du.edu/digital-leadership/,51,23.53%,12,52.94%,1.24,00:01:12,0.00%,0,$0.00
daniels.du.edu/marketing/faculty-staff/,50,72.00%,36,14.00%,4.68,00:04:43,0.00%,0,$0.00
daniels.du.edu/blog/mean-business-executive/,48,87.50%,42,16.67%,1.08,00:00:50,2.08%,1,$0.00
daniels.du.edu/marketing/masters/,48,58.33%,28,12.50%,2.92,00:05:30,4.17%,2,$0.00
daniels.du.edu/accountancy/masters/,46,73.91%,34,28.26%,3.63,00:06:10,2.17%,1,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,43,46.51%,20,13.95%,3.09,00:03:54,6.98%,3,$0.00
daniels.du.edu/blog/1m-gift-launches-first-family-business-program-in-higher-education-in-colorado-region/,42,95.24%,40,92.86%,1.10,00:00:53,0.00%,0,$0.00
daniels.du.edu/career-services/,40,45.00%,18,22.50%,1.70,00:01:13,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/denver-leadership-experience/,39,82.05%,32,23.08%,1.85,00:01:57,0.00%,0,$0.00
daniels.du.edu/directory/,34,17.65%,6,2.94%,3.50,00:05:58,0.00%,0,$0.00
daniels.du.edu/executive-education/cpw-alumni-development-program-registration/,34,73.53%,25,0.00%,1.12,00:01:31,0.00%,0,$0.00
daniels.du.edu/blog/restaurateur-gives-opportunity-through-scholarships/,33,72.73%,24,15.15%,1.30,00:00:46,0.00%,0,$0.00
daniels.du.edu/blog/self-care-in-startups/,33,66.67%,22,27.27%,1.03,00:01:51,0.00%,0,$0.00
daniels.du.edu/blog/denver-tracks-with-national-trend-rents-keep-climbing/,32,75.00%,24,9.38%,1.22,00:02:04,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/public-safety-leadership/,31,64.52%,20,29.03%,1.23,00:01:59,3.23%,1,$0.00
daniels.du.edu/entrepreneurship/,30,76.67%,23,23.33%,2.00,00:01:57,0.00%,0,$0.00
daniels.du.edu/blog/top-4-reasons-you-should-donate-to-your-alma-mater/,29,100.00%,29,6.90%,1.03,00:01:35,0.00%,0,$0.00
daniels.du.edu/directory/charles-dhanaraj/,29,62.07%,18,6.90%,1.24,00:01:47,0.00%,0,$0.00
daniels.du.edu/finance/bachelors/,29,65.52%,19,6.90%,3.00,00:03:04,0.00%,0,$0.00
daniels.du.edu/management/masters/,29,62.07%,18,41.38%,2.24,00:03:17,3.45%,1,$0.00
daniels.du.edu/executive-education/bailey-program-family-enterprise/,27,77.78%,21,62.96%,1.26,00:01:20,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/academics/,26,50.00%,13,15.38%,2.19,00:06:10,0.00%,0,$0.00
daniels.du.edu/executive-education/,25,48.00%,12,24.00%,2.12,00:02:31,0.00%,0,$0.00
daniels.du.edu/ocm/brand-toolkit/,25,56.00%,14,32.00%,1.48,00:02:24,0.00%,0,$0.00
daniels.du.edu/accountancy/bachelors/,24,75.00%,18,12.50%,2.17,00:02:47,0.00%,0,$0.00
daniels.du.edu/burns-video-hub/,23,91.30%,21,73.91%,1.04,00:00:08,0.00%,0,$0.00
daniels.du.edu/directory/yashar-atefi/,23,13.04%,3,4.35%,1.70,00:07:06,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/insights-discovery/,23,56.52%,13,26.09%,1.52,00:02:14,0.00%,0,$0.00
daniels.du.edu/burns-school/bachelors/,22,59.09%,13,13.64%,2.45,00:01:33,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/bachelors/,22,59.09%,13,0.00%,4.36,00:05:24,4.55%,1,$0.00
daniels.du.edu/marketing/,21,52.38%,11,9.52%,3.52,00:03:33,0.00%,0,$0.00
daniels.du.edu/blog/,20,40.00%,8,20.00%,2.90,00:04:50,0.00%,0,$0.00
daniels.du.edu/marketing/bachelors/,20,75.00%,15,5.00%,3.45,00:02:33,0.00%,0,$0.00
daniels.du.edu/directory/glenn-mueller/,19,84.21%,16,10.53%,2.16,00:01:53,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/data-visualization/,18,72.22%,13,27.78%,1.61,00:01:34,0.00%,0,$0.00
daniels.du.edu/international-business/,18,72.22%,13,5.56%,1.83,00:01:40,11.11%,2,$0.00
daniels.du.edu/accountancy/,17,58.82%,10,0.00%,3.53,00:08:48,0.00%,0,$0.00
daniels.du.edu/request-info-form/,17,58.82%,10,0.00%,2.71,00:06:26,5.88%,1,$0.00
daniels.du.edu/undergraduate-programs/,17,88.24%,15,29.41%,2.12,00:01:07,5.88%,1,$0.00
daniels.du.edu/about/,16,62.50%,10,31.25%,1.56,00:02:15,0.00%,0,$0.00
daniels.du.edu/blog/new-high-tech-collaboratory-positions-students-for-success/,16,93.75%,15,37.50%,1.12,00:00:24,0.00%,0,$0.00
daniels.du.edu/hospitality-management/beans-cafe/,16,81.25%,13,25.00%,1.00,00:01:29,0.00%,0,$0.00
daniels.du.edu/recruiters-companies/,16,81.25%,13,62.50%,1.31,00:03:18,0.00%,0,$0.00
daniels.du.edu/student-organizations/,16,43.75%,7,0.00%,1.94,00:04:34,6.25%,1,$0.00
daniels.du.edu/blog/summer-internship-goals-and-expectations-by-rebecca-damas/,14,100.00%,14,0.00%,1.00,00:02:04,0.00%,0,$0.00
daniels.du.edu/denver-mba/curriculum/,14,42.86%,6,28.57%,1.64,00:01:30,0.00%,0,$0.00
daniels.du.edu/executive-education/webinars/,14,21.43%,3,21.43%,6.29,00:12:45,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/accelerated-leadership-experience/,14,71.43%,10,21.43%,1.43,00:02:31,0.00%,0,$0.00
daniels.du.edu/hospitality-management/meet-our-team/,14,100.00%,14,28.57%,1.64,00:00:44,0.00%,0,$0.00
daniels.du.edu/recruiters-companies/corporate-partners-program/,14,92.86%,13,35.71%,1.00,00:00:32,0.00%,0,$0.00
daniels.du.edu/student-profiles/salome-margvelashvili/,14,100.00%,14,7.14%,1.07,00:00:16,0.00%,0,$0.00
daniels.du.edu/blog/accomplished-daniels-alumni-honored-by-management-department/,13,38.46%,5,53.85%,1.15,00:02:59,0.00%,0,$0.00
daniels.du.edu/blog/electronic-word-of-mouth-what-marketers-need-to-know/,13,84.62%,11,30.77%,1.00,00:00:43,0.00%,0,$0.00
daniels.du.edu/blog/from-psychology-major-to-project-manager/,13,84.62%,11,7.69%,1.08,00:02:01,0.00%,0,$0.00
daniels.du.edu/finance/,13,46.15%,6,0.00%,5.15,00:11:54,0.00%,0,$0.00
daniels.du.edu/blog/accounting-graduates-selected-for-prestigious-board-positions/,12,83.33%,10,8.33%,1.17,00:01:08,0.00%,0,$0.00
daniels.du.edu/discover-denver/,12,66.67%,8,8.33%,1.25,00:02:04,0.00%,0,$0.00
daniels.du.edu/finance/certificates/,12,91.67%,11,33.33%,1.58,00:01:10,0.00%,0,$0.00
