# ----------------------------------------
# daniels.du.edu
# Landing Pages
# 20220410-20220416
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Grad Apply (Goal 3 Conversion Rate),Grad Apply (Goal 3 Completions),Grad Apply (Goal 3 Value)
daniels.du.edu/digital-leadership/,"1,972",81.49%,"1,607",70.49%,1.41,00:00:49,0.81%,16,$0.00
daniels.du.edu/programs/mba-landing/,666,76.13%,507,87.84%,1.13,00:00:31,0.15%,1,$0.00
daniels.du.edu/,618,56.15%,347,19.09%,3.16,00:03:21,4.05%,25,$0.00
daniels.du.edu/burns-school/rebe-landing/,489,72.39%,354,51.53%,1.08,00:00:37,0.00%,0,$0.00
daniels.du.edu/daniels-instagram-feed-single-carousel/,255,15.69%,40,0.00%,1.05,00:00:36,0.00%,0,$0.00
daniels.du.edu/duvin-festival/,180,65.00%,117,11.11%,1.13,00:00:46,0.00%,0,$0.00
daniels.du.edu/finance/finance-landing/,176,93.18%,164,27.84%,1.02,00:00:08,0.00%,0,$0.00
daniels.du.edu/denver-mba/,174,70.11%,122,28.74%,3.67,00:05:32,6.90%,12,$0.00
daniels.du.edu/business-information-analytics/bia-landing/,168,94.64%,159,28.57%,1.01,00:00:08,0.00%,0,$0.00
(not set),161,13.66%,22,0.00%,0.00,00:01:04,1.86%,3,$0.00
daniels.du.edu/programs/mba-landing/?utm_licrid=160079664,146,65.75%,96,95.89%,1.03,00:00:28,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/masters/,145,46.90%,68,24.14%,2.21,00:04:36,10.34%,15,$0.00
daniels.du.edu/blog/siblings-build-for-the-future/,135,64.44%,87,20.00%,1.26,00:02:26,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/,133,39.85%,53,36.84%,1.85,00:03:40,15.79%,21,$0.00
daniels.du.edu/blog/fell-out-of-the-lucky-tree/,129,79.07%,102,65.12%,1.09,00:00:51,0.00%,0,$0.00
daniels.du.edu/burns-school/masters/,123,74.80%,92,28.46%,2.50,00:02:53,0.81%,1,$0.00
daniels.du.edu/executive-phd/,119,69.75%,83,19.33%,3.22,00:03:08,4.20%,5,$0.00
daniels.du.edu/finance/masters/,114,50.00%,57,31.58%,2.27,00:04:16,7.89%,9,$0.00
daniels.du.edu/management/management-landing/,114,97.37%,111,25.44%,1.01,00:00:15,0.00%,0,$0.00
daniels.du.edu/marketing/marketing-landing/,113,93.81%,106,30.97%,1.00,00:00:01,0.00%,0,$0.00
daniels.du.edu/blog/increasing-empathy-through-technology/,106,58.49%,62,12.26%,1.31,00:02:58,0.00%,0,$0.00
daniels.du.edu/burns-school/,103,43.69%,45,6.80%,2.56,00:03:28,1.94%,2,$0.00
daniels.du.edu/marketing/masters/,87,72.41%,63,33.33%,1.63,00:02:55,6.90%,6,$0.00
daniels.du.edu/blog/why-seminars-and-workshops-are-important-to-the-graduate-experience/,82,92.68%,76,19.51%,1.11,00:02:29,0.00%,0,$0.00
daniels.du.edu/hospitality-management/,80,70.00%,56,20.00%,2.55,00:02:07,0.00%,0,$0.00
daniels.du.edu/accountancy/accountancy-landing/,76,89.47%,68,35.53%,1.03,00:00:10,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/,76,26.32%,20,10.53%,2.49,00:04:18,0.00%,0,$0.00
daniels.du.edu/programs/,71,81.69%,58,52.11%,1.11,00:00:30,0.00%,0,$0.00
daniels.du.edu/professional-mba/,69,56.52%,39,28.99%,1.81,00:01:55,1.45%,1,$0.00
daniels.du.edu/accountancy/masters/,62,61.29%,38,30.65%,1.89,00:02:29,4.84%,3,$0.00
daniels.du.edu/blog/daniels-online-mba-climbs-23-spots-in-fortunes-ranking/,60,63.33%,38,20.00%,1.20,00:00:47,0.00%,0,$0.00
daniels.du.edu/programs/graduate-programs-landing/,58,58.62%,34,12.07%,2.72,00:03:13,3.45%,2,$0.00
daniels.du.edu/career-services/,55,43.64%,24,29.09%,1.85,00:01:09,0.00%,0,$0.00
daniels.du.edu/events/,52,57.69%,30,19.23%,1.12,00:00:16,0.00%,0,$0.00
daniels.du.edu/iee/programs/elevate-ethics/,52,63.46%,33,48.08%,1.17,00:01:34,0.00%,0,$0.00
daniels.du.edu/programs/mba-landing/?utm_licrid=143429644,51,74.51%,38,86.27%,1.24,00:01:15,0.00%,0,$0.00
daniels.du.edu/ocm/brand-toolkit/,49,40.82%,20,20.41%,1.49,00:01:29,0.00%,0,$0.00
daniels.du.edu/business-information-analytics/bia-landing/?utm_licrid=160868864,46,65.22%,30,97.83%,1.00,<00:00:01,2.17%,1,$0.00
daniels.du.edu/executive-mba/,46,52.17%,24,17.39%,2.41,00:03:05,2.17%,1,$0.00
daniels.du.edu/business-information-analytics/bachelors/,45,62.22%,28,4.44%,2.51,00:03:03,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/,45,53.33%,24,28.89%,2.16,00:03:00,0.00%,0,$0.00
daniels.du.edu/blog/top-three-things-youll-gain-masters-finance/,44,90.91%,40,13.64%,1.14,00:03:22,0.00%,0,$0.00
daniels.du.edu/finance/bachelors/,40,67.50%,27,0.00%,2.18,00:03:16,0.00%,0,$0.00
daniels.du.edu/programs/mba-landing/?utm_licrid=160079674,40,62.50%,25,92.50%,1.05,00:00:24,0.00%,0,$0.00
daniels.du.edu/recruiters-companies/,39,66.67%,26,89.74%,1.26,00:00:25,0.00%,0,$0.00
daniels.du.edu/blog/mean-business-executive/,38,94.74%,36,2.63%,1.05,00:00:33,0.00%,0,$0.00
daniels.du.edu/burns-video-hub/,38,94.74%,36,71.05%,1.11,00:00:05,0.00%,0,$0.00
daniels.du.edu/executive-education/bailey-program-family-enterprise/,38,65.79%,25,44.74%,1.79,00:01:48,0.00%,0,$0.00
daniels.du.edu/blog/eleven-questions-with-joshua-ross-cryptocurrency-blockchain/,37,72.97%,27,70.27%,1.14,00:00:27,0.00%,0,$0.00
daniels.du.edu/hospitality-management/beans-cafe/,37,70.27%,26,10.81%,1.30,00:00:28,0.00%,0,$0.00
daniels.du.edu/management/masters/,37,51.35%,19,29.73%,2.22,00:05:01,2.70%,1,$0.00
daniels.du.edu/blog/5-ways-to-reduce-stress-during-finals/,35,100.00%,35,2.86%,1.11,00:00:47,0.00%,0,$0.00
daniels.du.edu/request-info-form/,34,61.76%,21,14.71%,2.62,00:03:50,2.94%,1,$0.00
daniels.du.edu/undergraduate-programs/academics/,34,47.06%,16,11.76%,2.12,00:03:46,0.00%,0,$0.00
daniels.du.edu/digital-leadership,32,62.50%,20,40.62%,1.12,00:00:56,0.00%,0,$0.00
daniels.du.edu/directory/,32,18.75%,6,0.00%,6.12,00:05:59,0.00%,0,$0.00
daniels.du.edu/blog/1m-gift-launches-first-family-business-program-in-higher-education-in-colorado-region/,31,96.77%,30,93.55%,1.06,00:01:10,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/public-safety-leadership/,31,61.29%,19,9.68%,1.29,00:02:26,3.23%,1,$0.00
daniels.du.edu/blog/daniels-events/entrepreneurshipdu-personal-brand-speaker-series/,30,63.33%,19,13.33%,1.70,00:02:37,0.00%,0,$0.00
daniels.du.edu/management/management-landing/?utm_licrid=160870504,30,70.00%,21,90.00%,1.00,00:00:01,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/admission/,30,40.00%,12,40.00%,1.93,00:04:08,0.00%,0,$0.00
daniels.du.edu/marketing/bachelors/,29,79.31%,23,0.00%,2.38,00:03:43,3.45%,1,$0.00
daniels.du.edu/blog/qa-impact-of-the-coronavirus-pandemic-on-the-hospitality-industry/,28,100.00%,28,17.86%,1.04,00:00:49,0.00%,0,$0.00
daniels.du.edu/burns-school/bachelors/,28,64.29%,18,10.71%,1.46,00:00:53,0.00%,0,$0.00
daniels.du.edu/undergraduate-programs/,28,60.71%,17,21.43%,2.39,00:02:32,0.00%,0,$0.00
daniels.du.edu/executive-education/,27,62.96%,17,22.22%,3.74,00:03:32,0.00%,0,$0.00
daniels.du.edu/accountancy/bachelors/,26,69.23%,18,3.85%,1.77,00:02:27,3.85%,1,$0.00
daniels.du.edu/hospitality-management/meet-our-team/,26,69.23%,18,11.54%,3.23,00:03:44,0.00%,0,$0.00
daniels.du.edu/directory/yashar-atefi/,25,16.00%,4,0.00%,1.28,00:03:22,0.00%,0,$0.00
daniels.du.edu/about/,24,41.67%,10,12.50%,1.92,00:02:58,0.00%,0,$0.00
daniels.du.edu/blog/executive-education-mental-health-awareness/,24,58.33%,14,58.33%,1.21,00:01:24,0.00%,0,$0.00
daniels.du.edu/voe/,24,25.00%,6,16.67%,2.04,00:02:35,4.17%,1,$0.00
daniels.du.edu/undergraduate-programs/four-plus-one/,23,43.48%,10,8.70%,3.48,00:06:06,8.70%,2,$0.00
daniels.du.edu/blog/daniels-events/entrepreneurshipdu-womens-networking/,22,45.45%,10,22.73%,1.00,00:01:25,0.00%,0,$0.00
daniels.du.edu/blog/daniels-events/israel-course/,22,68.18%,15,4.55%,1.23,00:00:37,0.00%,0,$0.00
daniels.du.edu/blog/top-4-reasons-you-should-donate-to-your-alma-mater/,22,95.45%,21,9.09%,1.00,00:00:39,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/denver-leadership-experience/,22,81.82%,18,22.73%,2.00,00:03:08,0.00%,0,$0.00
daniels.du.edu/executive-education/workshops/insights-discovery/,22,50.00%,11,45.45%,1.45,00:02:28,0.00%,0,$0.00
daniels.du.edu/accountancy/,21,61.90%,13,4.76%,3.38,00:03:53,0.00%,0,$0.00
daniels.du.edu/burns-school/rebe-landing/?utm_licrid=143457464,21,90.48%,19,90.48%,1.05,00:00:01,0.00%,0,$0.00
daniels.du.edu/directory/glenn-mueller/,21,85.71%,18,9.52%,1.48,00:01:10,0.00%,0,$0.00
daniels.du.edu/blog/u-s-news-ranks-two-daniels-mba-programs-in-top-100/,20,70.00%,14,45.00%,1.05,00:00:17,0.00%,0,$0.00
daniels.du.edu/denver-mba/curriculum/,20,45.00%,9,20.00%,1.75,00:04:20,0.00%,0,$0.00
daniels.du.edu/graduate-certificates/,20,40.00%,8,15.00%,2.35,00:03:33,0.00%,0,$0.00
daniels.du.edu/directory/charles-dhanaraj/,19,57.89%,11,5.26%,1.26,00:00:59,0.00%,0,$0.00
daniels.du.edu/blog/restaurants-ambiance-service-important-food-quality/,18,72.22%,13,5.56%,1.11,00:02:10,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/base-camp/,18,27.78%,5,44.44%,1.28,00:02:00,0.00%,0,$0.00
daniels.du.edu/finance/,18,55.56%,10,5.56%,3.17,00:02:28,0.00%,0,$0.00
daniels.du.edu/mba-comparison/,18,66.67%,12,66.67%,1.06,00:00:52,0.00%,0,$0.00
daniels.du.edu/admit-weekend/,17,23.53%,4,0.00%,1.35,00:03:02,0.00%,0,$0.00
daniels.du.edu/blog/,17,0.00%,0,5.88%,2.59,00:05:59,0.00%,0,$0.00
daniels.du.edu/blog/impact-of-the-coronavirus-pandemic-on-marketing/,17,76.47%,13,23.53%,1.06,00:01:58,0.00%,0,$0.00
daniels.du.edu/entrepreneurship/pioneer-venture-group/,17,47.06%,8,35.29%,1.06,00:01:52,0.00%,0,$0.00
daniels.du.edu/blog/daniels-events/entrepreneurshipdu-startup-costs-and-forecasting/,16,56.25%,9,18.75%,1.25,00:00:25,0.00%,0,$0.00
daniels.du.edu/blog/from-psychology-major-to-project-manager/,15,100.00%,15,13.33%,1.00,00:01:06,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/contact-us/,15,46.67%,7,13.33%,1.73,00:01:01,6.67%,1,$0.00
daniels.du.edu/graduate-admissions/events/,15,46.67%,7,6.67%,2.93,00:04:20,0.00%,0,$0.00
daniels.du.edu/graduate-admissions/tuition-and-aid/scholarships/,15,6.67%,1,13.33%,2.00,00:08:10,0.00%,0,$0.00
daniels.du.edu/international-business/,15,73.33%,11,13.33%,1.87,00:04:06,0.00%,0,$0.00
daniels.du.edu/management/bachelors/,15,66.67%,10,0.00%,2.40,00:01:55,0.00%,0,$0.00
,"11,682",67.76%,"7,916",36.39%,1.64,00:01:47,1.22%,143,$0.00

Day Index,Sessions
4/10/22,"1,277"
4/11/22,"2,130"
4/12/22,"1,848"
4/13/22,"1,789"
4/14/22,"1,739"
4/15/22,"1,709"
4/16/22,"1,190"
,"11,682"
