,Sessions,Grad Apply %,Grad Apply,Week,Begin Date,End Date
28,69,1.45%,1.0,1,2022-04-10,2022-04-16
19,106,0.94%,1.0,2,2022-04-17,2022-04-23
15,156,1.28%,2.0,3,2022-04-24,2022-04-30
18,119,5.04%,6.0,4,2022-05-01,2022-05-07
11,137,2.92%,4.0,5,2022-05-08,2022-05-14
12,135,2.96%,4.0,6,2022-05-15,2022-05-21
19,124,4.84%,6.0,7,2022-05-22,2022-05-28
17,115,2.61%,3.0,8,2022-05-29,2022-06-04
18,102,4.90%,5.0,9,2022-06-05,2022-06-11
14,127,3.94%,5.0,10,2022-06-12,2022-06-18
13,111,1.80%,2.0,11,2022-06-19,2022-06-25
16,96,0.00%,0.0,12,2022-06-26,2022-07-02
12,82,0.00%,0.0,13,2022-07-03,2022-07-09
14,100,2.00%,2.0,14,2022-07-10,2022-07-16
17,83,1.20%,1.0,15,2022-07-17,2022-07-23
11,84,2.38%,2.0,16,2022-07-24,2022-07-30
11,81,1.23%,1.0,17,2022-07-31,2022-08-06
17,72,2.78%,2.0,18,2022-08-07,2022-08-13
16,72,2.78%,2.0,19,2022-08-14,2022-08-20
15,71,2.82%,2.0,20,2022-08-21,2022-08-27
19,59,3.39%,2.0,21,2022-08-28,2022-09-03
