Device,Sessions,Avg_Duration,Grad_Apply,ID,Begin Date,End Date
mobile,"13,447",00:01:05,15,1,2021-10-16,2021-10-31
mobile,"11,154",00:01:09,59,2,2021-11-01,2021-11-15
mobile,"8,203",00:01:12,43,3,2021-11-16,2021-11-30
mobile,"8,543",00:01:06,54,4,2021-12-01,2021-12-15
mobile,"5,643",00:01:27,51,5,2021-12-16,2021-12-31
mobile,"14,843",00:00:47,60,6,2022-01-01,2022-01-15
mobile,"15,673",00:00:54,73,7,2022-01-16,2022-01-31
mobile,"11,502",00:00:57,51,8,2022-02-01,2022-02-14
mobile,"10,722",00:01:00,62,9,2022-02-15,2022-02-28
mobile,"10,291",00:01:11,54,10,2022-03-01,2022-03-15
mobile,"13,133",00:01:05,63,11,2022-03-16,2022-03-31
mobile,"13,682",00:01:07,77,12,2022-04-01,2022-04-15
mobile,"21,023",00:00:53,94,13,2022-04-16,2022-04-30
mobile,"18,383",00:00:54,134,14,2022-05-01,2022-05-15
mobile,"18,563",00:01:06,321,15,2022-05-16,2022-05-31
mobile,"10,279",00:01:14,139,16,2022-06-01,2022-06-15
mobile,"13,925",00:01:07,214,17,2022-06-16,2022-06-30
mobile,"4,887",00:01:33,72,18,2022-07-01,2022-07-15
mobile,"5,323",00:01:41,73,19,2022-07-16,2022-07-31
mobile,"4,667",00:01:40,68,20,2022-08-01,2022-08-15
mobile,"5,899",00:01:49,88,21,2022-08-16,2022-08-31
mobile,"6,146",00:01:34,82,22,2022-09-01,2022-09-15
mobile,"8,019",00:01:24,75,23,2022-09-16,2022-09-30
mobile,"6,974",00:01:19,86,24,2022-10-01,2022-10-15
mobile,"7,889",00:01:17,80,25,2022-10-16,2022-10-31
mobile,"6,744",00:01:38,87,26,2022-11-01,2022-11-15
mobile,"5,586",00:01:20,67,27,2022-11-16,2022-11-30
mobile,"5,301",00:01:24,75,28,2022-12-01,2022-12-15
mobile,"5,238",00:01:34,101,29,2022-12-16,2022-12-31
mobile,"8,530",00:01:11,97,30,2023-01-01,2023-01-15
mobile,"12,570",00:00:56,128,31,2023-01-16,2023-01-31
mobile,"10,557",00:01:03,119,32,2023-02-01,2023-02-14
mobile,"8,597",00:01:15,98,33,2023-02-15,2023-02-28
mobile,"10,188",00:01:09,87,34,2023-03-01,2023-03-15
mobile,"13,800",00:00:48,101,35,2023-03-16,2023-03-31
mobile,"11,675",00:00:54,104,36,2023-04-01,2023-04-15
mobile,"13,072",00:00:49,99,37,2023-04-16,2023-04-30
mobile,"6,067",00:01:32,98,38,2023-05-01,2023-05-15
