Device,Sessions,Avg_Duration,Grad_Apply,ID,Begin Date,End Date
tablet,472,00:01:25,0,1,2021-10-16,2021-10-31
tablet,302,00:01:33,0,2,2021-11-01,2021-11-15
tablet,217,00:01:22,0,3,2021-11-16,2021-11-30
tablet,224,00:01:01,3,4,2021-12-01,2021-12-15
tablet,222,00:01:00,1,5,2021-12-16,2021-12-31
tablet,731,00:00:34,0,6,2022-01-01,2022-01-15
tablet,643,00:00:54,0,7,2022-01-16,2022-01-31
tablet,596,00:01:05,0,8,2022-02-01,2022-02-14
tablet,631,00:01:05,4,9,2022-02-15,2022-02-28
tablet,603,00:01:02,0,10,2022-03-01,2022-03-15
tablet,770,00:01:04,4,11,2022-03-16,2022-03-31
tablet,687,00:01:18,3,12,2022-04-01,2022-04-15
tablet,"1,409",00:00:49,6,13,2022-04-16,2022-04-30
tablet,637,00:01:00,1,14,2022-05-01,2022-05-15
tablet,775,00:00:56,3,15,2022-05-16,2022-05-31
tablet,562,00:00:59,0,16,2022-06-01,2022-06-15
tablet,846,00:00:50,10,17,2022-06-16,2022-06-30
tablet,303,00:00:57,4,18,2022-07-01,2022-07-15
tablet,301,00:01:28,1,19,2022-07-16,2022-07-31
tablet,229,00:02:22,1,20,2022-08-01,2022-08-15
tablet,288,00:01:31,3,21,2022-08-16,2022-08-31
tablet,347,00:01:53,6,22,2022-09-01,2022-09-15
tablet,597,00:00:41,3,23,2022-09-16,2022-09-30
tablet,403,00:00:58,6,24,2022-10-01,2022-10-15
tablet,479,00:00:54,4,25,2022-10-16,2022-10-31
tablet,343,00:00:50,2,26,2022-11-01,2022-11-15
tablet,391,00:00:54,3,27,2022-11-16,2022-11-30
tablet,298,00:01:02,4,28,2022-12-01,2022-12-15
tablet,322,00:00:42,3,29,2022-12-16,2022-12-31
tablet,586,00:00:58,6,30,2023-01-01,2023-01-15
tablet,687,00:01:33,3,31,2023-01-16,2023-01-31
tablet,882,00:00:27,4,32,2023-02-01,2023-02-14
tablet,703,00:00:42,5,33,2023-02-15,2023-02-28
tablet,612,00:00:48,3,34,2023-03-01,2023-03-15
tablet,622,00:00:55,3,35,2023-03-16,2023-03-31
tablet,539,00:00:52,14,36,2023-04-01,2023-04-15
tablet,554,00:00:57,5,37,2023-04-16,2023-04-30
tablet,357,00:01:17,6,38,2023-05-01,2023-05-15
