Source,Sessions,Avg_Duration,Grad_Apply,ID,Begin Date,End Date
Direct,11510,00:02:44,15,1,2021-10-16,2021-10-31
Direct,9902,00:02:38,63,2,2021-11-01,2021-11-15
Direct,7699,00:02:21,71,3,2021-11-16,2021-11-30
Direct,8284,00:02:29,76,4,2021-12-01,2021-12-15
Direct,5363,00:03:08,57,5,2021-12-16,2021-12-31
Direct,11560,00:02:21,101,6,2022-01-01,2022-01-15
Direct,13065,00:02:25,85,7,2022-01-16,2022-01-31
Direct,7891,00:02:29,68,8,2022-02-01,2022-02-14
Direct,8728,00:02:33,72,9,2022-02-15,2022-02-28
Direct,8280,00:02:59,87,10,2022-03-01,2022-03-15
Direct,10438,00:02:48,81,11,2022-03-16,2022-03-31
Direct,7738,00:03:19,83,12,2022-04-01,2022-04-15
Direct,7738,00:02:56,73,13,2022-04-16,2022-04-30
Direct,5860,00:03:16,65,14,2022-05-01,2022-05-15
Direct,6610,00:03:25,79,15,2022-05-16,2022-05-31
Direct,6213,00:03:30,79,16,2022-06-01,2022-06-15
Direct,5734,00:02:54,73,17,2022-06-16,2022-06-30
Direct,5009,00:03:20,70,18,2022-07-01,2022-07-15
Direct,5555,00:03:12,74,19,2022-07-16,2022-07-31
Direct,5405,00:03:11,77,20,2022-08-01,2022-08-15
Direct,6784,00:03:41,129,21,2022-08-16,2022-08-31
Direct,7065,00:03:18,92,22,2022-09-01,2022-09-15
Direct,7922,00:03:12,86,23,2022-09-16,2022-09-30
Direct,7092,00:03:07,137,24,2022-10-01,2022-10-15
Direct,7720,00:02:51,99,25,2022-10-16,2022-10-31
Direct,7190,00:03:19,100,26,2022-11-01,2022-11-15
Direct,5424,00:04:05,78,27,2022-11-16,2022-11-30
Direct,5626,00:03:43,100,28,2022-12-01,2022-12-15
Direct,4745,00:04:47,99,29,2022-12-16,2022-12-31
Direct,8121,00:02:41,133,30,2023-01-01,2023-01-15
Direct,11815,00:02:24,176,31,2023-01-16,2023-01-31
Direct,9446,00:02:48,157,32,2023-02-01,2023-02-14
Direct,7589,00:03:18,138,33,2023-02-15,2023-02-28
Direct,9702,00:02:43,166,34,2023-03-01,2023-03-15
Direct,13553,00:02:24,141,35,2023-03-16,2023-03-31
Direct,10744,00:02:17,103,36,2023-04-01,2023-04-15
Direct,12488,00:02:22,93,37,2023-04-16,2023-04-30
Direct,6510,00:03:53,123,38,2023-05-01,2023-05-15
