Source,Sessions,Avg_Duration,Grad_Apply,ID,Begin Date,End Date
Display,"3,174",00:00:15,0,1,2021-10-16,2021-10-31
Display,"3,082",00:00:18,2,2,2021-11-01,2021-11-15
Display,"2,257",00:00:15,0,3,2021-11-16,2021-11-30
Display,"2,695",00:00:14,1,4,2021-12-01,2021-12-15
Display,"2,166",00:00:02,0,5,2021-12-16,2021-12-31
Display,"10,566",00:00:09,2,6,2022-01-01,2022-01-15
Display,"8,383",00:00:13,0,7,2022-01-16,2022-01-31
Display,"7,378",00:00:23,2,8,2022-02-01,2022-02-14
Display,"6,148",00:00:15,0,9,2022-02-15,2022-02-28
Display,"6,096",00:00:22,0,10,2022-03-01,2022-03-15
Display,"7,696",00:00:16,3,11,2022-03-16,2022-03-31
Display,"6,574",00:00:19,0,12,2022-04-01,2022-04-15
Display,"11,633",00:00:24,0,13,2022-04-16,2022-04-30
Display,"11,626",00:00:24,0,14,2022-05-01,2022-05-15
Display,"4,632",00:00:14,1,15,2022-05-16,2022-05-31
Display,"4,002",00:00:10,0,16,2022-06-01,2022-06-15
Display,"4,282",00:00:16,3,17,2022-06-16,2022-06-30
Display,"1,518",00:00:09,1,18,2022-07-01,2022-07-15
Display,"1,199",00:00:16,0,19,2022-07-16,2022-07-31
Display,782,00:00:11,0,20,2022-08-01,2022-08-15
Display,681,00:00:10,0,21,2022-08-16,2022-08-31
Display,797,00:00:12,0,22,2022-09-01,2022-09-15
Display,"2,695",00:00:02,0,23,2022-09-16,2022-09-30
Display,"1,663",00:00:07,1,24,2022-10-01,2022-10-15
Display,"2,057",00:00:10,0,25,2022-10-16,2022-10-31
Display,723,00:00:06,1,26,2022-11-01,2022-11-15
Display,"1,011",00:00:01,0,27,2022-11-16,2022-11-30
Display,830,00:00:01,0,28,2022-12-01,2022-12-15
Display,"1,003",00:00:02,0,29,2022-12-16,2022-12-31
Display,"2,710",00:00:06,1,30,2023-01-01,2023-01-15
Display,"2,428",00:00:17,2,31,2023-01-16,2023-01-31
Display,"4,394",00:00:14,3,32,2023-02-01,2023-02-14
Display,"2,730",00:00:08,4,33,2023-02-15,2023-02-28
Display,"2,097",00:00:13,0,34,2023-03-01,2023-03-15
Display,"2,345",00:00:10,1,35,2023-03-16,2023-03-31
Display,"2,003",00:00:20,2,36,2023-04-01,2023-04-15
Display,"1,842",00:00:10,0,37,2023-04-16,2023-04-30
Display,"1,027",00:00:21,5,38,2023-05-01,2023-05-15
