Source,Sessions,Avg_Duration,Grad_Apply,ID,Begin Date,End Date
Organic Search,"9,915",00:02:40,17,1,2021-10-16,2021-10-31
Organic Search,"10,307",00:02:51,126,2,2021-11-01,2021-11-15
Organic Search,"7,724",00:02:49,122,3,2021-11-16,2021-11-30
Organic Search,"7,994",00:02:34,119,4,2021-12-01,2021-12-15
Organic Search,"5,650",00:02:36,109,5,2021-12-16,2021-12-31
Organic Search,"8,832",00:02:59,181,6,2022-01-01,2022-01-15
Organic Search,"9,960",00:02:48,139,7,2022-01-16,2022-01-31
Organic Search,"8,595",00:02:43,126,8,2022-02-01,2022-02-14
Organic Search,"9,044",00:02:34,178,9,2022-02-15,2022-02-28
Organic Search,"9,045",00:02:56,198,10,2022-03-01,2022-03-15
Organic Search,"9,451",00:02:47,127,11,2022-03-16,2022-03-31
Organic Search,"9,105",00:02:48,115,12,2022-04-01,2022-04-15
Organic Search,"8,958",00:02:38,171,13,2022-04-16,2022-04-30
Organic Search,"8,898",00:02:39,147,14,2022-05-01,2022-05-15
Organic Search,"8,795",00:02:36,127,15,2022-05-16,2022-05-31
Organic Search,"7,502",00:02:35,141,16,2022-06-01,2022-06-15
Organic Search,"6,669",00:02:49,137,17,2022-06-16,2022-06-30
Organic Search,"6,374",00:02:55,128,18,2022-07-01,2022-07-15
Organic Search,"7,343",00:02:57,131,19,2022-07-16,2022-07-31
Organic Search,"7,438",00:02:54,139,20,2022-08-01,2022-08-15
Organic Search,"9,148",00:02:41,147,21,2022-08-16,2022-08-31
Organic Search,"9,361",00:02:46,119,22,2022-09-01,2022-09-15
Organic Search,"9,760",00:02:45,151,23,2022-09-16,2022-09-30
Organic Search,"9,464",00:02:51,178,24,2022-10-01,2022-10-15
Organic Search,"10,281",00:02:45,149,25,2022-10-16,2022-10-31
Organic Search,"9,905",00:03:13,129,26,2022-11-01,2022-11-15
Organic Search,"7,210",00:02:42,127,27,2022-11-16,2022-11-30
Organic Search,"7,517",00:02:47,148,28,2022-12-01,2022-12-15
Organic Search,"5,511",00:02:39,134,29,2022-12-16,2022-12-31
Organic Search,"8,734",00:02:42,163,30,2023-01-01,2023-01-15
Organic Search,"10,331",00:02:54,232,31,2023-01-16,2023-01-31
Organic Search,"8,736",00:02:51,173,32,2023-02-01,2023-02-14
Organic Search,"8,980",00:02:42,179,33,2023-02-15,2023-02-28
Organic Search,"9,315",00:02:51,178,34,2023-03-01,2023-03-15
Organic Search,"8,869",00:02:36,171,35,2023-03-16,2023-03-31
Organic Search,"8,133",00:02:35,152,36,2023-04-01,2023-04-15
Organic Search,"8,225",00:02:43,155,37,2023-04-16,2023-04-30
Organic Search,"8,604",00:02:52,173,38,2023-05-01,2023-05-15
