Source,Sessions,Avg_Duration,Grad_Apply,ID,Begin Date,End Date
Paid Search,"3,753",00:01:24,13,1,2021-10-16,2021-10-31
Paid Search,"2,135",00:01:37,51,2,2021-11-01,2021-11-15
Paid Search,"1,538",00:01:48,30,3,2021-11-16,2021-11-30
Paid Search,"1,617",00:01:42,32,4,2021-12-01,2021-12-15
Paid Search,"1,406",00:01:40,24,5,2021-12-16,2021-12-31
Paid Search,"2,281",00:01:37,36,6,2022-01-01,2022-01-15
Paid Search,"2,046",00:01:38,32,7,2022-01-16,2022-01-31
Paid Search,"2,143",00:01:18,35,8,2022-02-01,2022-02-14
Paid Search,"1,280",00:01:47,31,9,2022-02-15,2022-02-28
Paid Search,919,00:02:21,31,10,2022-03-01,2022-03-15
Paid Search,"1,850",00:01:27,28,11,2022-03-16,2022-03-31
Paid Search,"3,709",00:01:05,54,12,2022-04-01,2022-04-15
Paid Search,"7,494",00:00:53,96,13,2022-04-16,2022-04-30
Paid Search,"4,490",00:01:06,110,14,2022-05-01,2022-05-15
Paid Search,"12,071",00:01:02,313,15,2022-05-16,2022-05-31
Paid Search,"3,847",00:01:08,75,16,2022-06-01,2022-06-15
Paid Search,"8,196",00:00:59,161,17,2022-06-16,2022-06-30
Paid Search,645,00:01:30,12,18,2022-07-01,2022-07-15
Paid Search,446,00:02:16,10,19,2022-07-16,2022-07-31
Paid Search,367,00:02:50,16,20,2022-08-01,2022-08-15
Paid Search,570,00:01:50,18,21,2022-08-16,2022-08-31
Paid Search,973,00:01:25,20,22,2022-09-01,2022-09-15
Paid Search,"1,470",00:01:12,32,23,2022-09-16,2022-09-30
Paid Search,"1,668",00:01:35,32,24,2022-10-01,2022-10-15
Paid Search,"2,198",00:01:23,48,25,2022-10-16,2022-10-31
Paid Search,"1,598",00:01:29,36,26,2022-11-01,2022-11-15
Paid Search,"1,203",00:01:58,36,27,2022-11-16,2022-11-30
Paid Search,"1,383",00:01:54,41,28,2022-12-01,2022-12-15
Paid Search,"1,117",00:02:14,41,29,2022-12-16,2022-12-31
Paid Search,"1,762",00:02:16,60,30,2023-01-01,2023-01-15
Paid Search,"2,632",00:02:02,113,31,2023-01-16,2023-01-31
Paid Search,"2,215",00:02:13,65,32,2023-02-01,2023-02-14
Paid Search,"2,520",00:02:03,75,33,2023-02-15,2023-02-28
Paid Search,"2,160",00:02:22,96,34,2023-03-01,2023-03-15
Paid Search,"2,124",00:02:10,64,35,2023-03-16,2023-03-31
Paid Search,"1,940",00:02:24,60,36,2023-04-01,2023-04-15
Paid Search,"1,976",00:02:15,83,37,2023-04-16,2023-04-30
Paid Search,"1,473",00:02:48,81,38,2023-05-01,2023-05-15
