Source,Sessions,Avg_Duration,Grad_Apply,ID,Begin Date,End Date
Referral,569,00:02:11,3,1,2021-10-16,2021-10-31
Referral,588,00:04:33,6,2,2021-11-01,2021-11-15
Referral,498,00:05:12,6,3,2021-11-16,2021-11-30
Referral,500,00:02:30,2,4,2021-12-01,2021-12-15
Referral,359,00:03:42,6,5,2021-12-16,2021-12-31
Referral,449,00:02:38,9,6,2022-01-01,2022-01-15
Referral,612,00:02:22,7,7,2022-01-16,2022-01-31
Referral,431,00:02:26,8,8,2022-02-01,2022-02-14
Referral,533,00:03:05,6,9,2022-02-15,2022-02-28
Referral,436,00:02:40,7,10,2022-03-01,2022-03-15
Referral,542,00:03:02,11,11,2022-03-16,2022-03-31
Referral,456,00:02:39,7,12,2022-04-01,2022-04-15
Referral,486,00:02:20,10,13,2022-04-16,2022-04-30
Referral,481,00:02:54,4,14,2022-05-01,2022-05-15
Referral,474,00:02:15,2,15,2022-05-16,2022-05-31
Referral,464,00:02:31,7,16,2022-06-01,2022-06-15
Referral,356,00:03:01,5,17,2022-06-16,2022-06-30
Referral,376,00:03:27,2,18,2022-07-01,2022-07-15
Referral,402,00:03:29,3,19,2022-07-16,2022-07-31
Referral,530,00:03:56,2,20,2022-08-01,2022-08-15
Referral,580,00:06:03,6,21,2022-08-16,2022-08-31
Referral,513,00:03:38,3,22,2022-09-01,2022-09-15
Referral,599,00:03:29,9,23,2022-09-16,2022-09-30
Referral,560,00:01:57,4,24,2022-10-01,2022-10-15
Referral,615,00:02:53,8,25,2022-10-16,2022-10-31
Referral,599,00:02:51,3,26,2022-11-01,2022-11-15
Referral,484,00:02:13,10,27,2022-11-16,2022-11-30
Referral,519,00:05:12,3,28,2022-12-01,2022-12-15
Referral,386,00:02:57,6,29,2022-12-16,2022-12-31
Referral,644,00:04:58,7,30,2023-01-01,2023-01-15
Referral,865,00:03:59,7,31,2023-01-16,2023-01-31
Referral,564,00:04:52,3,32,2023-02-01,2023-02-14
Referral,660,00:03:03,5,33,2023-02-15,2023-02-28
Referral,587,00:05:02,5,34,2023-03-01,2023-03-15
Referral,478,00:05:06,4,35,2023-03-16,2023-03-31
Referral,557,00:03:43,5,36,2023-04-01,2023-04-15
Referral,514,00:04:00,6,37,2023-04-16,2023-04-30
Referral,614,00:04:51,5,38,2023-05-01,2023-05-15
