Source,Sessions,Avg_Duration,Grad_Apply,ID,Begin Date,End Date
Social,263,00:01:33,0,1,2021-10-16,2021-10-31
Social,280,00:01:05,1,2,2021-11-01,2021-11-15
Social,439,00:01:18,0,3,2021-11-16,2021-11-30
Social,234,00:01:55,0,4,2021-12-01,2021-12-15
Social,222,00:01:47,0,5,2021-12-16,2021-12-31
Social,345,00:02:13,0,6,2022-01-01,2022-01-15
Social,429,00:02:15,1,7,2022-01-16,2022-01-31
Social,337,00:02:23,0,8,2022-02-01,2022-02-14
Social,358,00:01:24,0,9,2022-02-15,2022-02-28
Social,355,00:02:00,0,10,2022-03-01,2022-03-15
Social,451,00:01:25,1,11,2022-03-16,2022-03-31
Social,312,00:01:08,0,12,2022-04-01,2022-04-15
Social,353,00:01:44,0,13,2022-04-16,2022-04-30
Social,346,00:01:25,0,14,2022-05-01,2022-05-15
Social,253,00:01:13,2,15,2022-05-16,2022-05-31
Social,247,00:01:26,1,16,2022-06-01,2022-06-15
Social,113,00:02:08,0,17,2022-06-16,2022-06-30
Social,68,00:02:38,1,18,2022-07-01,2022-07-15
Social,291,00:00:48,0,19,2022-07-16,2022-07-31
Social,183,00:01:01,2,20,2022-08-01,2022-08-15
Social,415,00:01:00,0,21,2022-08-16,2022-08-31
Social,352,00:00:57,2,22,2022-09-01,2022-09-15
Social,394,00:01:43,2,23,2022-09-16,2022-09-30
Social,280,00:01:07,0,24,2022-10-01,2022-10-15
Social,263,00:01:27,2,25,2022-10-16,2022-10-31
Social,577,00:01:21,3,26,2022-11-01,2022-11-15
Social,428,00:01:02,0,27,2022-11-16,2022-11-30
Social,185,00:02:21,1,28,2022-12-01,2022-12-15
Social,437,00:01:03,0,29,2022-12-16,2022-12-31
Social,273,00:01:22,0,30,2023-01-01,2023-01-15
Social,606,00:01:47,2,31,2023-01-16,2023-01-31
Social,287,00:01:21,1,32,2023-02-01,2023-02-14
Social,385,00:02:03,2,33,2023-02-15,2023-02-28
Social,388,00:01:45,1,34,2023-03-01,2023-03-15
Social,394,00:01:57,1,35,2023-03-16,2023-03-31
Social,447,00:01:36,1,36,2023-04-01,2023-04-15
Social,244,00:01:35,1,37,2023-04-16,2023-04-30
Social,218,00:02:14,0,38,2023-05-01,2023-05-15
