# ----------------------------------------
# Master
# Channels
# 20211016-20211031
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"7,407","5,786","9,915",17.42%,1.95,00:02:40,0.17%,17,$0.00
Direct,"5,061","4,663","6,353",41.82%,1.78,00:02:07,0.20%,13,$0.00
(Other),"4,678","4,494","5,157",77.35%,1.22,00:00:37,0.04%,2,$0.00
Paid Search,"3,214","2,956","3,753",48.63%,1.78,00:01:24,0.35%,13,$0.00
Display,"2,741","2,677","3,174",68.81%,1.08,00:00:15,0.00%,0,$0.00
Email,731,607,"1,031",47.14%,1.60,00:02:01,0.00%,0,$0.00
Referral,423,287,569,30.93%,1.90,00:02:11,0.53%,3,$0.00
Social,229,212,263,19.77%,1.31,00:01:33,0.00%,0,$0.00
,"24,484","21,682","30,215",43.34%,1.66,00:01:45,0.16%,48,$0.00

Day Index,Users
10/16/21,"1,132"
10/17/21,"1,302"
10/18/21,"2,085"
10/19/21,"2,125"
10/20/21,"2,122"
10/21/21,"1,964"
10/22/21,"1,542"
10/23/21,"1,143"
10/24/21,"1,247"
10/25/21,"2,093"
10/26/21,"2,020"
10/27/21,"2,050"
10/28/21,"2,205"
10/29/21,"1,554"
10/30/21,"1,169"
10/31/21,"1,269"
,"27,022"
