# ----------------------------------------
# Master
# Channels
# 20211101-20211115
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"7,664","5,930","10,307",16.72%,2.01,00:02:51,1.22%,126,$0.00
Direct,"5,051","4,609","6,280",42.13%,1.70,00:01:51,0.94%,59,$0.00
(Other),"3,266","3,089","3,622",81.25%,1.31,00:00:47,0.11%,4,$0.00
Display,"2,604","2,548","3,082",71.90%,1.08,00:00:18,0.06%,2,$0.00
Paid Search,"1,755","1,492","2,135",47.87%,1.84,00:01:37,2.39%,51,$0.00
Email,538,405,779,44.29%,1.56,00:01:40,0.26%,2,$0.00
Referral,419,295,588,24.83%,2.63,00:04:33,1.02%,6,$0.00
Social,241,217,280,22.86%,1.30,00:01:05,0.36%,1,$0.00
,"21,538","18,585","27,073",41.02%,1.72,00:01:56,0.93%,251,$0.00

Day Index,Users
11/1/21,"2,082"
11/2/21,"2,060"
11/3/21,"1,810"
11/4/21,"1,711"
11/5/21,"1,584"
11/6/21,"1,178"
11/7/21,"1,315"
11/8/21,"1,989"
11/9/21,"1,836"
11/10/21,"1,870"
11/11/21,"1,536"
11/12/21,"1,276"
11/13/21,960
11/14/21,"1,026"
11/15/21,"1,681"
,"23,914"
