# ----------------------------------------
# Master
# Channels
# 20211116-20211130
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"6,031","4,858","7,724",20.07%,1.93,00:02:49,1.58%,122,$0.00
Direct,"4,313","3,931","5,243",49.48%,1.68,00:01:38,1.26%,66,$0.00
(Other),"2,130","1,946","2,456",65.92%,1.19,00:00:43,0.20%,5,$0.00
Display,"1,914","1,853","2,257",74.21%,1.06,00:00:15,0.00%,0,$0.00
Paid Search,"1,288","1,113","1,538",44.67%,1.81,00:01:48,1.95%,30,$0.00
Social,366,324,439,25.06%,1.20,00:01:18,0.00%,0,$0.00
Referral,359,246,498,25.70%,3.16,00:05:12,1.20%,6,$0.00
Email,301,228,394,35.03%,1.38,00:02:03,0.51%,2,$0.00
,"16,702","14,499","20,549",41.37%,1.68,00:01:55,1.12%,231,$0.00

Day Index,Users
11/16/21,"1,937"
11/17/21,"1,683"
11/18/21,"1,803"
11/19/21,"1,259"
11/20/21,933
11/21/21,"1,029"
11/22/21,"1,227"
11/23/21,"1,189"
11/24/21,993
11/25/21,683
11/26/21,702
11/27/21,725
11/28/21,867
11/29/21,"1,565"
11/30/21,"1,527"
,"18,122"
