# ----------------------------------------
# Master
# Channels
# 20211216-20211231
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"4,495","3,707","5,650",20.73%,1.92,00:02:36,1.93%,109,$0.00
Direct,"3,526","3,246","4,410",46.51%,1.83,00:02:05,1.29%,57,$0.00
Display,"2,067","2,039","2,166",43.07%,1.02,00:00:02,0.00%,0,$0.00
Paid Search,"1,188","1,063","1,406",45.02%,1.72,00:01:40,1.71%,24,$0.00
(Other),751,677,953,56.77%,1.34,00:01:03,0.00%,0,$0.00
Referral,297,239,359,28.69%,2.47,00:03:42,1.67%,6,$0.00
Social,175,156,222,22.97%,1.53,00:01:47,0.00%,0,$0.00
Email,55,28,68,45.59%,1.94,00:02:17,0.00%,0,$0.00
,"12,554","11,155","15,234",36.20%,1.72,00:01:55,1.29%,196,$0.00

Day Index,Users
12/16/21,"1,228"
12/17/21,"1,024"
12/18/21,675
12/19/21,702
12/20/21,"1,102"
12/21/21,"1,076"
12/22/21,992
12/23/21,835
12/24/21,542
12/25/21,555
12/26/21,743
12/27/21,913
12/28/21,932
12/29/21,860
12/30/21,805
12/31/21,628
,"13,612"
