# ----------------------------------------
# Master
# Channels
# 20220101-20220115
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Display,"9,631","9,539","10,566",63.74%,1.04,00:00:09,0.02%,2,$0.00
Organic Search,"6,443","5,154","8,832",19.26%,2.09,00:02:59,2.05%,181,$0.00
Direct,"5,425","5,022","6,735",45.37%,1.77,00:01:51,1.40%,94,$0.00
(Other),"4,299","4,160","4,825",82.96%,1.16,00:00:30,0.15%,7,$0.00
Paid Search,"1,933","1,716","2,281",51.16%,1.69,00:01:37,1.58%,36,$0.00
Referral,356,257,449,29.18%,1.91,00:02:38,2.00%,9,$0.00
Email,352,286,480,37.71%,1.55,00:00:56,0.21%,1,$0.00
Social,307,281,345,20.00%,1.26,00:02:13,0.00%,0,$0.00
,"28,746","26,415","34,513",49.38%,1.53,00:01:25,0.96%,330,$0.00

Day Index,Users
1/1/22,"1,700"
1/2/22,"1,624"
1/3/22,"1,874"
1/4/22,"2,753"
1/5/22,"2,270"
1/6/22,"1,874"
1/7/22,"1,638"
1/8/22,"1,258"
1/9/22,"1,402"
1/10/22,"2,181"
1/11/22,"2,081"
1/12/22,"2,376"
1/13/22,"3,605"
1/14/22,"2,644"
1/15/22,"1,835"
,"31,115"
