# ----------------------------------------
# Master
# Channels
# 20220116-20220131
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Display,"7,481","7,345","8,383",74.29%,1.05,00:00:13,0.00%,0,$0.00
Organic Search,"7,429","5,784","9,960",17.54%,2.12,00:02:48,1.40%,139,$0.00
Direct,"5,836","5,380","7,478",41.99%,1.78,00:01:59,1.12%,84,$0.00
(Other),"4,826","4,568","5,587",80.67%,1.12,00:00:26,0.02%,1,$0.00
Paid Search,"1,746","1,512","2,046",45.70%,1.73,00:01:38,1.56%,32,$0.00
Email,778,658,"1,055",41.61%,1.60,00:02:11,0.09%,1,$0.00
Referral,481,359,612,26.96%,1.95,00:02:22,1.14%,7,$0.00
Social,363,322,429,13.75%,1.26,00:02:15,0.23%,1,$0.00
,"28,940","25,928","35,550",48.44%,1.59,00:01:33,0.75%,265,$0.00

Day Index,Users
1/16/22,"1,582"
1/17/22,"1,765"
1/18/22,"2,038"
1/19/22,"2,107"
1/20/22,"2,343"
1/21/22,"2,274"
1/22/22,"1,544"
1/23/22,"1,479"
1/24/22,"2,278"
1/25/22,"2,312"
1/26/22,"1,850"
1/27/22,"2,674"
1/28/22,"1,973"
1/29/22,"1,632"
1/30/22,"1,515"
1/31/22,"2,306"
,"31,672"
