# ----------------------------------------
# Master
# Channels
# 20220201-20220214
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"6,378","4,848","8,595",16.75%,2.02,00:02:43,1.47%,126,$0.00
Display,"6,339","6,215","7,378",73.49%,1.07,00:00:23,0.03%,2,$0.00
Direct,"4,168","3,781","5,289",42.07%,1.72,00:01:45,1.21%,64,$0.00
(Other),"2,054","1,922","2,602",69.98%,1.19,00:00:44,0.15%,4,$0.00
Paid Search,"1,826","1,602","2,143",55.95%,1.59,00:01:18,1.63%,35,$0.00
Email,511,398,821,45.43%,1.52,00:01:49,0.12%,1,$0.00
Referral,340,232,431,25.06%,2.13,00:02:26,1.86%,8,$0.00
Social,274,241,337,18.69%,1.42,00:02:23,0.00%,0,$0.00
,"21,890","19,239","27,596",45.84%,1.58,00:01:34,0.87%,240,$0.00

Day Index,Users
2/1/22,"1,730"
2/2/22,"1,517"
2/3/22,"2,010"
2/4/22,"1,836"
2/5/22,"1,375"
2/6/22,"1,885"
2/7/22,"2,426"
2/8/22,"2,123"
2/9/22,"1,886"
2/10/22,"1,921"
2/11/22,"1,442"
2/12/22,993
2/13/22,"1,113"
2/14/22,"1,978"
,"24,235"
