# ----------------------------------------
# Master
# Channels
# 20220215-20220228
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"6,673","5,092","9,044",16.04%,1.97,00:02:34,1.97%,178,$0.00
Display,"5,465","5,324","6,148",67.27%,1.06,00:00:15,0.00%,0,$0.00
Direct,"4,673","4,273","5,899",40.11%,1.70,00:01:57,1.17%,69,$0.00
(Other),"2,253","2,124","2,829",76.67%,1.13,00:00:36,0.11%,3,$0.00
Paid Search,"1,091",901,"1,280",39.22%,1.90,00:01:47,2.42%,31,$0.00
Email,525,424,815,42.09%,1.45,00:01:23,0.12%,1,$0.00
Referral,396,274,533,23.83%,2.02,00:03:05,1.13%,6,$0.00
Social,285,237,358,24.02%,1.27,00:01:24,0.00%,0,$0.00
,"21,361","18,649","26,906",41.55%,1.59,00:01:37,1.07%,288,$0.00

Day Index,Users
2/15/22,"1,977"
2/16/22,"2,152"
2/17/22,"1,740"
2/18/22,"1,624"
2/19/22,"1,087"
2/20/22,"1,164"
2/21/22,"1,978"
2/22/22,"2,114"
2/23/22,"2,084"
2/24/22,"2,011"
2/25/22,"1,670"
2/26/22,"1,317"
2/27/22,"1,194"
2/28/22,"1,670"
,"23,782"
