# ----------------------------------------
# Master
# Channels
# 20220301-20220315
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"6,653","5,167","9,045",17.22%,2.05,00:02:56,2.19%,198,$0.00
Display,"5,304","5,129","6,096",68.08%,1.07,00:00:22,0.00%,0,$0.00
Direct,"4,730","4,339","5,958",40.63%,1.75,00:02:01,1.43%,85,$0.00
(Other),"1,877","1,764","2,322",68.99%,1.17,00:00:58,0.09%,2,$0.00
Paid Search,767,584,919,32.97%,2.06,00:02:21,3.37%,31,$0.00
Referral,350,255,436,27.06%,1.82,00:02:40,1.61%,7,$0.00
Email,302,218,467,41.11%,1.62,00:01:34,0.43%,2,$0.00
Social,293,271,355,22.82%,1.54,00:02:00,0.00%,0,$0.00
,"20,276","17,727","25,598",40.73%,1.65,00:01:52,1.27%,325,$0.00

Day Index,Users
3/1/22,"1,684"
3/2/22,"1,963"
3/3/22,"1,965"
3/4/22,"1,365"
3/5/22,"1,034"
3/6/22,"1,208"
3/7/22,"1,707"
3/8/22,"1,620"
3/9/22,"1,108"
3/10/22,"1,255"
3/11/22,"1,717"
3/12/22,"1,067"
3/13/22,"1,040"
3/14/22,"1,879"
3/15/22,"2,051"
,"22,663"
