# ----------------------------------------
# Master
# Channels
# 20220316-20220331
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"6,923","5,557","9,451",15.78%,1.98,00:02:47,1.34%,127,$0.00
Display,"6,859","6,591","7,696",68.84%,1.06,00:00:16,0.04%,3,$0.00
Direct,"4,994","4,629","6,420",42.27%,1.67,00:01:54,1.17%,75,$0.00
(Other),"3,262","3,067","4,018",49.65%,1.14,00:00:54,0.15%,6,$0.00
Paid Search,"1,569","1,373","1,850",56.27%,1.60,00:01:27,1.51%,28,$0.00
Email,901,776,"1,261",36.24%,1.45,00:01:42,0.40%,5,$0.00
Social,403,381,451,19.96%,1.24,00:01:25,0.22%,1,$0.00
Referral,393,294,542,22.69%,2.14,00:03:02,2.03%,11,$0.00
,"25,304","22,668","31,689",41.68%,1.54,00:01:37,0.81%,256,$0.00

Day Index,Users
3/16/22,"2,072"
3/17/22,"2,167"
3/18/22,"1,629"
3/19/22,"1,312"
3/20/22,"1,150"
3/21/22,"2,167"
3/22/22,"1,881"
3/23/22,"1,667"
3/24/22,"1,775"
3/25/22,"1,401"
3/26/22,"1,094"
3/27/22,"1,371"
3/28/22,"1,976"
3/29/22,"2,216"
3/30/22,"1,999"
3/31/22,"2,102"
,"27,979"
