# ----------------------------------------
# Master
# Channels
# 20220401-20220415
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"6,815","5,432","9,105",15.05%,2.03,00:02:48,1.26%,115,$0.00
Display,"5,725","5,540","6,574",69.96%,1.06,00:00:19,0.00%,0,$0.00
Direct,"4,080","3,741","5,355",38.67%,1.75,00:02:10,1.40%,75,$0.00
Paid Search,"3,010","2,786","3,709",65.22%,1.50,00:01:05,1.46%,54,$0.00
(Other),"1,812","1,706","2,383",64.25%,1.20,00:01:09,0.34%,8,$0.00
Email,932,774,"1,254",28.31%,1.37,00:01:22,0.32%,4,$0.00
Referral,367,266,456,25.44%,2.13,00:02:39,1.54%,7,$0.00
Social,283,251,312,23.72%,1.35,00:01:08,0.00%,0,$0.00
,"23,024","20,496","29,148",43.00%,1.59,00:01:42,0.90%,263,$0.00

Day Index,Users
4/1/22,"1,549"
4/2/22,"1,160"
4/3/22,"1,247"
4/4/22,"2,130"
4/5/22,"1,484"
4/6/22,"1,974"
4/7/22,"1,933"
4/8/22,"1,666"
4/9/22,"1,349"
4/10/22,"1,422"
4/11/22,"2,174"
4/12/22,"1,986"
4/13/22,"1,917"
4/14/22,"1,868"
4/15/22,"1,758"
,"25,617"
