# ----------------------------------------
# Master
# Channels
# 20220416-20220430
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Display,"9,595","9,326","11,633",87.94%,1.08,00:00:24,0.00%,0,$0.00
Organic Search,"6,641","5,254","8,958",16.12%,1.95,00:02:38,1.91%,171,$0.00
Paid Search,"5,748","5,348","7,494",67.55%,1.43,00:00:53,1.28%,96,$0.00
Direct,"4,124","3,773","5,367",37.15%,1.71,00:01:59,1.17%,63,$0.00
(Other),"1,853","1,753","2,371",64.53%,1.18,00:00:57,0.42%,10,$0.00
Email,916,754,"1,302",34.10%,1.61,00:02:21,0.08%,1,$0.00
Referral,360,248,486,25.51%,1.84,00:02:20,2.06%,10,$0.00
Social,296,269,353,17.00%,1.22,00:01:44,0.00%,0,$0.00
,"29,533","26,725","37,964",55.02%,1.48,00:01:23,0.92%,351,$0.00

Day Index,Users
4/16/22,"1,299"
4/17/22,"1,320"
4/18/22,"2,224"
4/19/22,"1,816"
4/20/22,"2,463"
4/21/22,"2,370"
4/22/22,"2,036"
4/23/22,"2,123"
4/24/22,"1,918"
4/25/22,"2,555"
4/26/22,"2,746"
4/27/22,"2,786"
4/28/22,"2,957"
4/29/22,"2,470"
4/30/22,"1,940"
,"33,023"
