# ----------------------------------------
# Master
# Channels
# 20220501-20220515
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Display,"9,072","8,674","11,626",90.08%,1.10,00:00:24,0.00%,0,$0.00
Organic Search,"6,689","5,253","8,898",15.31%,2.00,00:02:39,1.65%,147,$0.00
Paid Search,"3,874","3,571","4,490",57.59%,1.71,00:01:06,2.45%,110,$0.00
Direct,"3,817","3,513","5,066",36.18%,1.72,00:01:42,1.24%,63,$0.00
Email,766,621,"1,072",29.38%,1.36,00:01:53,0.56%,6,$0.00
(Other),617,528,794,39.80%,1.23,00:01:34,0.25%,2,$0.00
Referral,371,269,481,28.27%,2.12,00:02:54,0.83%,4,$0.00
Social,295,257,346,18.21%,1.21,00:01:25,0.00%,0,$0.00
,"25,501","22,686","32,773",52.13%,1.55,00:01:26,1.01%,332,$0.00

Day Index,Users
5/1/22,"1,532"
5/2/22,"2,103"
5/3/22,"1,888"
5/4/22,"2,114"
5/5/22,"1,978"
5/6/22,"1,979"
5/7/22,"1,617"
5/8/22,"1,550"
5/9/22,"2,475"
5/10/22,"2,140"
5/11/22,"2,126"
5/12/22,"2,067"
5/13/22,"1,950"
5/14/22,"1,697"
5/15/22,"1,745"
,"28,961"
