# ----------------------------------------
# Master
# Channels
# 20220516-20220531
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Paid Search,"9,717","9,310","12,071",56.08%,1.67,00:01:02,2.59%,313,$0.00
Organic Search,"6,575","5,191","8,795",15.69%,1.92,00:02:36,1.44%,127,$0.00
Direct,"4,297","3,953","5,461",37.45%,1.82,00:01:57,1.45%,79,$0.00
Display,"4,173","3,880","4,632",85.92%,1.05,00:00:14,0.02%,1,$0.00
(Other),"1,007",898,"1,149",35.68%,1.33,00:01:28,0.00%,0,$0.00
Email,896,749,"1,320",34.24%,1.56,00:01:58,0.23%,3,$0.00
Referral,369,274,474,30.17%,1.86,00:02:15,0.42%,2,$0.00
Social,217,186,253,12.25%,1.20,00:01:13,0.79%,2,$0.00
,"27,251","24,441","34,155",44.54%,1.66,00:01:33,1.54%,527,$0.00

Day Index,Users
5/16/22,"1,979"
5/17/22,"1,748"
5/18/22,"1,890"
5/19/22,"1,832"
5/20/22,"1,517"
5/21/22,"1,156"
5/22/22,"1,170"
5/23/22,"2,357"
5/24/22,"2,311"
5/25/22,"1,661"
5/26/22,"1,820"
5/27/22,"1,964"
5/28/22,"2,399"
5/29/22,"2,182"
5/30/22,"1,948"
5/31/22,"2,060"
,"29,994"
