# ----------------------------------------
# Master
# Channels
# 20220616-20220630
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Paid Search,"6,187","5,866","8,196",57.11%,1.48,00:00:59,1.96%,161,$0.00
Organic Search,"5,158","4,290","6,669",18.47%,2.01,00:02:49,2.05%,137,$0.00
Display,"3,878","3,762","4,282",86.76%,1.06,00:00:16,0.07%,3,$0.00
Direct,"3,667","3,419","4,562",36.23%,1.84,00:02:00,1.56%,71,$0.00
(Other),"1,045",970,"1,172",51.02%,1.16,00:00:54,0.17%,2,$0.00
Email,641,545,829,20.51%,1.81,00:01:56,0.12%,1,$0.00
Referral,275,213,356,25.56%,1.97,00:03:01,1.40%,5,$0.00
Social,104,95,113,20.35%,1.66,00:02:08,0.00%,0,$0.00
,"20,955","19,160","26,179",46.46%,1.61,00:01:34,1.45%,380,$0.00

Day Index,Users
6/16/22,"1,619"
6/17/22,"1,277"
6/18/22,"1,227"
6/19/22,"1,104"
6/20/22,"1,628"
6/21/22,"1,479"
6/22/22,"1,531"
6/23/22,"1,613"
6/24/22,"1,446"
6/25/22,"1,212"
6/26/22,"1,225"
6/27/22,"1,954"
6/28/22,"1,780"
6/29/22,"1,835"
6/30/22,"2,146"
,"23,076"
