# ----------------------------------------
# Master
# Channels
# 20220701-20220715
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"4,847","4,069","6,374",16.54%,2.12,00:02:55,2.01%,128,$0.00
Direct,"3,561","3,322","4,545",39.05%,1.73,00:01:58,1.50%,68,$0.00
Display,"1,402","1,353","1,518",87.68%,1.04,00:00:09,0.07%,1,$0.00
Paid Search,436,207,645,56.90%,1.53,00:01:30,1.86%,12,$0.00
(Other),367,290,464,28.88%,1.32,00:01:22,0.43%,2,$0.00
Email,273,214,390,25.13%,1.62,00:02:11,1.03%,4,$0.00
Referral,271,197,376,22.07%,2.57,00:03:27,0.53%,2,$0.00
Social,62,51,68,23.53%,1.24,00:02:38,1.47%,1,$0.00
,"11,219","9,703","14,380",33.78%,1.83,00:02:12,1.52%,218,$0.00

Day Index,Users
7/1/22,856
7/2/22,460
7/3/22,474
7/4/22,471
7/5/22,956
7/6/22,"1,062"
7/7/22,"1,045"
7/8/22,946
7/9/22,526
7/10/22,621
7/11/22,"1,048"
7/12/22,"1,050"
7/13/22,"1,068"
7/14/22,"1,142"
7/15/22,871
,"12,596"
