# ----------------------------------------
# Master
# Channels
# 20220716-20220731
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"5,716","4,782","7,343",16.79%,2.19,00:02:57,1.78%,131,$0.00
Direct,"3,919","3,652","4,906",39.30%,1.87,00:02:00,1.49%,73,$0.00
Display,"1,108","1,065","1,199",91.33%,1.04,00:00:16,0.00%,0,$0.00
(Other),568,491,649,27.89%,1.18,00:01:12,0.15%,1,$0.00
Paid Search,322,180,446,41.93%,2.06,00:02:16,2.24%,10,$0.00
Referral,295,202,402,21.39%,2.50,00:03:29,0.75%,3,$0.00
Social,280,264,291,26.12%,1.13,00:00:48,0.00%,0,$0.00
Email,106,60,148,30.41%,2.13,00:01:51,0.68%,1,$0.00
,"12,314","10,696","15,384",31.40%,1.94,00:02:19,1.42%,219,$0.00

Day Index,Users
7/16/22,566
7/17/22,615
7/18/22,949
7/19/22,"1,177"
7/20/22,"1,129"
7/21/22,"1,171"
7/22/22,936
7/23/22,503
7/24/22,568
7/25/22,963
7/26/22,971
7/27/22,979
7/28/22,"1,182"
7/29/22,847
7/30/22,518
7/31/22,595
,"13,669"
