# ----------------------------------------
# Master
# Channels
# 20220801-20220815
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"5,712","4,761","7,438",17.96%,2.17,00:02:54,1.87%,139,$0.00
Direct,"3,811","3,513","4,922",36.53%,1.91,00:02:12,1.54%,76,$0.00
Display,737,717,782,92.97%,1.03,00:00:11,0.00%,0,$0.00
(Other),433,382,483,33.13%,1.12,00:00:59,0.21%,1,$0.00
Referral,397,311,530,22.83%,2.58,00:03:56,0.38%,2,$0.00
Paid Search,278,170,367,31.34%,2.13,00:02:50,4.36%,16,$0.00
Social,162,143,183,23.50%,1.17,00:01:01,1.09%,2,$0.00
Email,73,40,130,33.08%,2.38,00:04:01,3.85%,5,$0.00
,"11,603","10,037","14,835",29.28%,1.99,00:02:29,1.62%,241,$0.00

Day Index,Users
8/1/22,992
8/2/22,"1,107"
8/3/22,"1,010"
8/4/22,954
8/5/22,759
8/6/22,509
8/7/22,572
8/8/22,"1,038"
8/9/22,992
8/10/22,"1,030"
8/11/22,"1,017"
8/12/22,850
8/13/22,534
8/14/22,590
8/15/22,"1,016"
,"12,970"
