# ----------------------------------------
# Master
# Channels
# 20220816-20220831
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"7,155","6,074","9,148",20.55%,2.04,00:02:41,1.61%,147,$0.00
Direct,"4,715","4,395","6,109",36.23%,1.85,00:02:13,2.03%,124,$0.00
Display,648,625,681,93.39%,1.03,00:00:10,0.00%,0,$0.00
(Other),570,486,675,30.37%,1.27,00:01:28,0.74%,5,$0.00
Paid Search,479,394,570,32.46%,1.82,00:01:50,3.16%,18,$0.00
Referral,399,295,580,23.79%,3.32,00:06:03,1.03%,6,$0.00
Social,396,368,415,20.48%,1.22,00:01:00,0.00%,0,$0.00
Email,178,138,356,30.34%,2.35,00:04:13,1.12%,4,$0.00
,"14,540","12,775","18,534",29.41%,1.93,00:02:28,1.64%,304,$0.00

Day Index,Users
8/16/22,"1,073"
8/17/22,"1,106"
8/18/22,"1,043"
8/19/22,"1,003"
8/20/22,675
8/21/22,708
8/22/22,"1,190"
8/23/22,"1,087"
8/24/22,"1,231"
8/25/22,"1,088"
8/26/22,"1,004"
8/27/22,637
8/28/22,698
8/29/22,"1,225"
8/30/22,"1,261"
8/31/22,"1,190"
,"16,219"
