# ----------------------------------------
# Master
# Channels
# 20220901-20220915
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"7,138","5,873","9,361",18.15%,2.11,00:02:46,1.27%,119,$0.00
Direct,"4,928","4,555","6,249",36.15%,1.79,00:01:54,1.41%,88,$0.00
Paid Search,828,707,973,34.53%,1.64,00:01:25,2.06%,20,$0.00
Display,756,734,797,94.86%,1.03,00:00:12,0.00%,0,$0.00
(Other),686,593,816,33.82%,1.43,00:01:24,0.49%,4,$0.00
Referral,381,277,513,25.93%,2.26,00:03:38,0.58%,3,$0.00
Social,336,318,352,30.40%,1.15,00:00:57,0.57%,2,$0.00
Email,79,43,144,22.22%,2.51,00:03:27,0.69%,1,$0.00
,"15,132","13,100","19,205",29.15%,1.90,00:02:15,1.23%,237,$0.00

Day Index,Users
9/1/22,"1,084"
9/2/22,933
9/3/22,577
9/4/22,605
9/5/22,873
9/6/22,"1,203"
9/7/22,"1,329"
9/8/22,"1,303"
9/9/22,"1,109"
9/10/22,703
9/11/22,850
9/12/22,"1,640"
9/13/22,"1,543"
9/14/22,"1,572"
9/15/22,"1,569"
,"16,893"
