# ----------------------------------------
# Master
# Channels
# 20221001-20221015
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"6,996","5,583","9,464",17.00%,2.10,00:02:51,1.88%,178,$0.00
Direct,"4,511","4,112","5,858",35.15%,1.82,00:02:02,2.27%,133,$0.00
Display,"1,628","1,603","1,663",92.06%,1.03,00:00:07,0.06%,1,$0.00
Paid Search,"1,402","1,210","1,668",33.27%,1.79,00:01:35,1.92%,32,$0.00
(Other),"1,107",972,"1,234",42.14%,1.38,00:01:05,0.32%,4,$0.00
Referral,447,318,560,26.61%,2.03,00:01:57,0.71%,4,$0.00
Social,251,223,280,13.57%,1.17,00:01:07,0.00%,0,$0.00
Email,87,63,160,28.75%,2.27,00:04:43,4.38%,7,$0.00
,"16,429","14,084","20,887",31.15%,1.86,00:02:10,1.72%,359,$0.00

Day Index,Users
10/1/22,743
10/2/22,830
10/3/22,"1,502"
10/4/22,"1,439"
10/5/22,"1,372"
10/6/22,"1,402"
10/7/22,"1,168"
10/8/22,712
10/9/22,849
10/10/22,"1,487"
10/11/22,"1,483"
10/12/22,"1,656"
10/13/22,"1,600"
10/14/22,"1,357"
10/15/22,799
,"18,399"
