# ----------------------------------------
# Master
# Channels
# 20221016-20221031
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"7,787","6,065","10,281",15.47%,2.07,00:02:45,1.45%,149,$0.00
Direct,"5,035","4,662","6,373",38.30%,1.73,00:01:48,1.55%,99,$0.00
Display,"2,007","1,976","2,057",93.53%,1.03,00:00:10,0.00%,0,$0.00
Paid Search,"1,909","1,691","2,198",38.58%,1.65,00:01:23,2.18%,48,$0.00
(Other),"1,191","1,089","1,347",52.78%,1.27,00:01:03,0.00%,0,$0.00
Referral,474,339,615,21.14%,2.41,00:02:53,1.30%,8,$0.00
Email,370,311,511,21.33%,2.07,00:03:03,0.20%,1,$0.00
Social,240,218,263,23.57%,1.35,00:01:27,0.76%,2,$0.00
,"19,013","16,351","23,645",33.05%,1.80,00:02:03,1.30%,307,$0.00

Day Index,Users
10/16/22,810
10/17/22,"1,531"
10/18/22,"1,500"
10/19/22,"1,757"
10/20/22,"1,542"
10/21/22,"1,323"
10/22/22,740
10/23/22,954
10/24/22,"1,598"
10/25/22,"1,583"
10/26/22,"1,499"
10/27/22,"1,768"
10/28/22,"1,219"
10/29/22,788
10/30/22,816
10/31/22,"1,519"
,"20,947"
