# ----------------------------------------
# Master
# Channels
# 20221101-20221115
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"7,321","5,704","9,905",15.74%,2.21,00:03:13,1.30%,129,$0.00
Direct,"4,873","4,459","6,212",34.76%,1.78,00:02:04,1.55%,96,$0.00
Paid Search,"1,368","1,153","1,598",34.54%,1.69,00:01:29,2.25%,36,$0.00
(Other),812,700,978,38.85%,1.37,00:01:15,0.41%,4,$0.00
Display,687,667,723,92.12%,1.06,00:00:06,0.14%,1,$0.00
Social,529,498,577,16.81%,1.28,00:01:21,0.52%,3,$0.00
Referral,445,335,599,19.87%,1.85,00:02:51,0.50%,3,$0.00
Email,76,51,96,38.54%,1.75,00:01:45,2.08%,2,$0.00
,"16,111","13,567","20,688",26.92%,1.92,00:02:28,1.32%,274,$0.00

Day Index,Users
11/1/22,"1,468"
11/2/22,"1,523"
11/3/22,"1,361"
11/4/22,"1,237"
11/5/22,675
11/6/22,849
11/7/22,"1,353"
11/8/22,"1,505"
11/9/22,"1,332"
11/10/22,"1,252"
11/11/22,"1,123"
11/12/22,709
11/13/22,790
11/14/22,"1,496"
11/15/22,"1,445"
,"18,118"
