# ----------------------------------------
# Master
# Channels
# 20221116-20221130
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"5,674","4,600","7,210",17.81%,2.05,00:02:42,1.76%,127,$0.00
Direct,"3,646","3,250","4,471",38.58%,1.87,00:02:10,1.66%,74,$0.00
Paid Search,"1,017",879,"1,203",31.92%,1.84,00:01:58,2.99%,36,$0.00
Display,978,968,"1,011",93.08%,1.00,00:00:01,0.00%,0,$0.00
(Other),808,690,953,35.78%,1.37,00:01:55,0.42%,4,$0.00
Social,398,350,428,16.82%,1.30,00:01:02,0.00%,0,$0.00
Referral,386,289,484,21.49%,1.83,00:02:13,2.07%,10,$0.00
Email,226,196,255,20.39%,1.50,00:02:37,0.39%,1,$0.00
,"13,133","11,222","16,015",30.62%,1.84,00:02:13,1.57%,252,$0.00

Day Index,Users
11/16/22,"1,564"
11/17/22,"1,473"
11/18/22,"1,118"
11/19/22,676
11/20/22,675
11/21/22,"1,225"
11/22/22,976
11/23/22,836
11/24/22,558
11/25/22,561
11/26/22,604
11/27/22,798
11/28/22,"1,157"
11/29/22,"1,000"
11/30/22,"1,126"
,"14,347"
