# ----------------------------------------
# Master
# Channels
# 20221201-20221215
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"5,929","4,975","7,517",16.38%,2.07,00:02:47,1.97%,148,$0.00
Direct,"3,931","3,580","4,810",37.98%,1.75,00:02:03,1.95%,94,$0.00
Paid Search,"1,139",965,"1,383",27.84%,1.92,00:01:54,2.96%,41,$0.00
Display,821,815,830,90.36%,1.00,00:00:01,0.00%,0,$0.00
(Other),718,624,816,54.17%,1.53,00:01:40,0.74%,6,$0.00
Referral,346,259,519,20.04%,3.15,00:05:12,0.58%,3,$0.00
Social,148,128,185,14.59%,1.41,00:02:21,0.54%,1,$0.00
Email,56,43,67,29.85%,1.37,00:02:00,1.49%,1,$0.00
,"13,088","11,389","16,127",29.68%,1.91,00:02:21,1.82%,294,$0.00

Day Index,Users
12/1/22,"1,174"
12/2/22,901
12/3/22,602
12/4/22,687
12/5/22,"1,208"
12/6/22,"1,110"
12/7/22,"1,115"
12/8/22,985
12/9/22,814
12/10/22,631
12/11/22,681
12/12/22,997
12/13/22,"1,209"
12/14/22,"1,202"
12/15/22,"1,043"
,"14,359"
