# ----------------------------------------
# Master
# Channels
# 20221216-20221231
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"4,460","3,727","5,511",17.55%,2.00,00:02:39,2.43%,134,$0.00
Direct,"3,343","3,060","4,038",37.74%,1.95,00:02:13,2.33%,94,$0.00
Display,"1,002",999,"1,003",90.13%,1.02,00:00:02,0.00%,0,$0.00
Paid Search,942,805,"1,117",26.14%,2.07,00:02:14,3.67%,41,$0.00
(Other),584,504,707,47.24%,2.07,00:02:34,0.71%,5,$0.00
Social,418,380,437,18.08%,1.15,00:01:03,0.00%,0,$0.00
Referral,304,215,386,26.17%,2.30,00:02:57,1.55%,6,$0.00
Email,54,42,64,29.69%,1.66,00:02:12,1.56%,1,$0.00
,"11,107","9,732","13,263",31.82%,1.90,00:02:14,2.12%,281,$0.00

Day Index,Users
12/16/22,866
12/17/22,585
12/18/22,600
12/19/22,"1,129"
12/20/22,"1,206"
12/21/22,961
12/22/22,861
12/23/22,631
12/24/22,445
12/25/22,477
12/26/22,651
12/27/22,756
12/28/22,754
12/29/22,762
12/30/22,704
12/31/22,553
,"11,941"
