# ----------------------------------------
# Master
# Channels
# 20230101-20230115
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"6,480","5,179","8,734",17.01%,1.99,00:02:42,1.87%,163,$0.00
Direct,"4,639","4,206","5,634",37.81%,1.82,00:02:11,2.25%,127,$0.00
Display,"2,668","2,660","2,710",86.24%,1.02,00:00:06,0.04%,1,$0.00
(Other),"2,363","2,260","2,487",68.07%,1.19,00:00:30,0.24%,6,$0.00
Paid Search,"1,409","1,175","1,762",25.43%,2.13,00:02:16,3.41%,60,$0.00
Referral,432,295,644,22.36%,2.76,00:04:58,1.09%,7,$0.00
Social,240,196,273,18.68%,1.30,00:01:22,0.00%,0,$0.00
Email,59,42,74,27.03%,1.62,00:01:50,1.35%,1,$0.00
,"18,290","16,013","22,318",37.23%,1.76,00:02:02,1.64%,365,$0.00

Day Index,Users
1/1/23,752
1/2/23,"1,178"
1/3/23,"1,501"
1/4/23,"1,614"
1/5/23,"1,505"
1/6/23,"1,285"
1/7/23,818
1/8/23,941
1/9/23,"1,689"
1/10/23,"1,535"
1/11/23,"1,648"
1/12/23,"1,660"
1/13/23,"1,564"
1/14/23,"1,138"
1/15/23,"1,185"
,"20,013"
