# ----------------------------------------
# Master
# Channels
# 20230116-20230131
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"7,586","6,046","10,331",16.57%,2.02,00:02:54,2.25%,232,$0.00
Direct,"5,571","5,143","6,941",36.49%,1.76,00:02:02,2.48%,172,$0.00
(Other),"4,751","4,542","4,874",75.52%,1.15,00:00:22,0.08%,4,$0.00
Display,"2,294","2,177","2,428",88.43%,1.07,00:00:17,0.08%,2,$0.00
Paid Search,"2,107","1,760","2,632",26.44%,1.94,00:02:02,4.29%,113,$0.00
Referral,585,408,865,20.00%,2.29,00:03:59,0.81%,7,$0.00
Social,543,493,606,29.54%,1.31,00:01:47,0.33%,2,$0.00
Email,252,224,279,29.03%,1.46,00:01:59,0.36%,1,$0.00
,"23,689","20,793","28,956",38.69%,1.71,00:01:58,1.84%,533,$0.00

Day Index,Users
1/16/23,"1,523"
1/17/23,"1,834"
1/18/23,"2,004"
1/19/23,"1,939"
1/20/23,"1,704"
1/21/23,"1,339"
1/22/23,"1,370"
1/23/23,"1,970"
1/24/23,"1,871"
1/25/23,"1,782"
1/26/23,"1,780"
1/27/23,"1,504"
1/28/23,"1,060"
1/29/23,"1,144"
1/30/23,"1,676"
1/31/23,"1,609"
,"26,109"
