# ----------------------------------------
# Master
# Channels
# 20230316-20230331
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
(Other),"7,451","6,944","7,854",81.07%,1.09,00:00:24,0.50%,39,$0.00
Organic Search,"6,683","5,222","8,869",15.05%,1.93,00:02:36,1.93%,171,$0.00
Direct,"4,733","4,381","5,699",34.32%,1.72,00:02:00,1.79%,102,$0.00
Display,"2,189","2,112","2,345",85.16%,1.03,00:00:10,0.04%,1,$0.00
Paid Search,"1,679","1,310","2,124",19.49%,2.13,00:02:10,3.01%,64,$0.00
Social,332,291,394,21.57%,1.49,00:01:57,0.25%,1,$0.00
Referral,319,237,478,21.55%,2.95,00:05:06,0.84%,4,$0.00
Email,312,251,389,25.45%,1.62,00:02:34,1.54%,6,$0.00
,"23,698","20,748","28,152",43.89%,1.60,00:01:40,1.38%,388,$0.00

Day Index,Users
3/16/23,"1,704"
3/17/23,"1,439"
3/18/23,"1,277"
3/19/23,"1,282"
3/20/23,"1,749"
3/21/23,"1,424"
3/22/23,"1,723"
3/23/23,"1,678"
3/24/23,"1,587"
3/25/23,"1,249"
3/26/23,"1,375"
3/27/23,"2,014"
3/28/23,"2,148"
3/29/23,"1,914"
3/30/23,"1,851"
3/31/23,"1,504"
,"25,918"
