# ----------------------------------------
# Master
# Channels
# 20230401-20230415
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"5,964","4,554","8,133",14.05%,1.89,00:02:35,1.87%,152,$0.00
(Other),"5,569","5,135","5,939",82.86%,1.11,00:00:22,0.45%,27,$0.00
Direct,"3,984","3,645","4,805",35.15%,1.77,00:01:55,1.58%,76,$0.00
Display,"1,810","1,742","2,003",88.72%,1.05,00:00:20,0.10%,2,$0.00
Paid Search,"1,527","1,193","1,940",19.12%,2.18,00:02:24,3.09%,60,$0.00
Social,399,334,447,26.62%,1.25,00:01:36,0.22%,1,$0.00
Referral,389,272,557,14.90%,2.42,00:03:43,0.90%,5,$0.00
Email,300,230,369,23.31%,1.29,00:01:05,1.08%,4,$0.00
,"19,942","17,105","24,193",42.12%,1.62,00:01:41,1.35%,327,$0.00

Day Index,Users
4/1/23,794
4/2/23,837
4/3/23,"1,403"
4/4/23,"1,713"
4/5/23,"1,737"
4/6/23,"1,647"
4/7/23,"1,592"
4/8/23,"1,297"
4/9/23,"1,234"
4/10/23,"1,975"
4/11/23,"1,819"
4/12/23,"1,689"
4/13/23,"1,634"
4/14/23,"1,527"
4/15/23,"1,307"
,"22,205"
