# ----------------------------------------
# Master
# Channels
# 20230416-20230430
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
(Other),"7,060","6,422","7,507",84.39%,1.10,00:00:23,0.13%,10,$0.00
Organic Search,"6,177","4,812","8,225",14.61%,2.00,00:02:43,1.88%,155,$0.00
Direct,"4,094","3,737","4,981",34.49%,1.74,00:01:59,1.67%,83,$0.00
Display,"1,743","1,676","1,842",90.17%,1.02,00:00:10,0.00%,0,$0.00
Paid Search,"1,532","1,246","1,976",20.70%,2.06,00:02:15,4.20%,83,$0.00
Email,556,483,682,20.97%,1.47,00:02:00,0.15%,1,$0.00
Referral,353,248,514,18.87%,2.37,00:04:00,1.17%,6,$0.00
Social,219,182,244,17.21%,1.37,00:01:35,0.41%,1,$0.00
,"21,734","18,806","25,971",44.69%,1.61,00:01:41,1.31%,339,$0.00

Day Index,Users
4/16/23,"1,282"
4/17/23,"1,877"
4/18/23,"1,791"
4/19/23,"1,858"
4/20/23,"1,638"
4/21/23,"1,417"
4/22/23,"1,415"
4/23/23,"1,358"
4/24/23,"1,993"
4/25/23,"1,976"
4/26/23,"1,811"
4/27/23,"1,855"
4/28/23,"1,591"
4/29/23,"1,095"
4/30/23,"1,018"
,"23,975"
