# ----------------------------------------
# Master
# Channels
# 20230501-20230515
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
Organic Search,"6,202","4,705","8,604",14.33%,2.00,00:02:52,2.01%,173,$0.00
Direct,"4,477","4,169","5,435",33.74%,1.98,00:01:53,1.97%,107,$0.00
Paid Search,"1,116",788,"1,473",17.24%,2.32,00:02:48,5.50%,81,$0.00
(Other),997,704,"1,075",46.79%,1.69,00:02:00,1.49%,16,$0.00
Display,966,926,"1,027",86.85%,1.04,00:00:21,0.49%,5,$0.00
Referral,390,280,614,20.85%,2.46,00:04:51,0.81%,5,$0.00
Email,201,145,289,26.30%,1.49,00:01:22,0.00%,0,$0.00
Social,191,157,218,17.89%,1.37,00:02:14,0.00%,0,$0.00
,"14,540","11,874","18,735",26.47%,1.95,00:02:25,2.07%,387,$0.00

Day Index,Users
5/1/23,"1,334"
5/2/23,"1,234"
5/3/23,"1,191"
5/4/23,"1,147"
5/5/23,"1,235"
5/6/23,709
5/7/23,709
5/8/23,"1,437"
5/9/23,"1,218"
5/10/23,"1,260"
5/11/23,"1,250"
5/12/23,"1,127"
5/13/23,701
5/14/23,638
5/15/23,"1,273"
,"16,463"
