# ----------------------------------------
# Master
# Overview
# 20220215-20220228
# ----------------------------------------

Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
desktop,"11,704","9,899","15,553",27.87%,1.80,00:02:03,1.43%,222,$0.00
mobile,"8,605","8,274","10,722",60.24%,1.29,00:01:00,0.58%,62,$0.00
tablet,514,476,631,61.17%,1.38,00:01:05,0.63%,4,$0.00
,"20,823","18,649","26,906",41.55%,1.59,00:01:37,1.07%,288,$0.00

Day Index,Users
2/15/22,"1,977"
2/16/22,"2,152"
2/17/22,"1,740"
2/18/22,"1,624"
2/19/22,"1,087"
2/20/22,"1,164"
2/21/22,"1,978"
2/22/22,"2,114"
2/23/22,"2,084"
2/24/22,"2,011"
2/25/22,"1,670"
2/26/22,"1,317"
2/27/22,"1,194"
2/28/22,"1,670"
,"23,782"
