# ----------------------------------------
# Master
# Overview
# 20220416-20220430
# ----------------------------------------

Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
mobile,"16,335","15,577","21,023",69.80%,1.28,00:00:53,0.45%,94,$0.00
desktop,"11,803","10,098","15,532",33.29%,1.77,00:02:07,1.62%,251,$0.00
tablet,"1,101","1,050","1,409",74.02%,1.31,00:00:49,0.43%,6,$0.00
,"29,239","26,725","37,964",55.02%,1.48,00:01:23,0.92%,351,$0.00

Day Index,Users
4/16/22,"1,299"
4/17/22,"1,320"
4/18/22,"2,224"
4/19/22,"1,816"
4/20/22,"2,463"
4/21/22,"2,370"
4/22/22,"2,036"
4/23/22,"2,123"
4/24/22,"1,918"
4/25/22,"2,555"
4/26/22,"2,746"
4/27/22,"2,786"
4/28/22,"2,957"
4/29/22,"2,470"
4/30/22,"1,940"
,"33,023"
