# ----------------------------------------
# Master
# Overview
# 20220616-20220630
# ----------------------------------------

Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Link Click - Apply (Goal 13 Conversion Rate),Link Click - Apply (Goal 13 Completions),Link Click - Apply (Goal 13 Value)
mobile,"11,055","10,577","13,925",54.25%,1.44,00:01:07,1.54%,214,$0.00
desktop,"8,985","7,964","11,408",35.00%,1.84,00:02:11,1.37%,156,$0.00
tablet,665,619,846,72.81%,1.33,00:00:50,1.18%,10,$0.00
,"20,705","19,160","26,179",46.46%,1.61,00:01:34,1.45%,380,$0.00

Day Index,Users
6/16/22,"1,619"
6/17/22,"1,277"
6/18/22,"1,227"
6/19/22,"1,104"
6/20/22,"1,628"
6/21/22,"1,479"
6/22/22,"1,531"
6/23/22,"1,613"
6/24/22,"1,446"
6/25/22,"1,212"
6/26/22,"1,225"
6/27/22,"1,954"
6/28/22,"1,780"
6/29/22,"1,835"
6/30/22,"2,146"
,"23,076"
